        2374
 Glass RT                                                                        
   5.309998      0.7458107       1.866985    
   5.329998      0.7382113       1.859397    
   5.349998      0.7232701       1.844436    
   5.369998      0.7003179       1.821545    
   5.389997      0.6725211       1.793698    
   5.409997      0.6431949       1.764431    
   5.429997      0.6110213       1.732214    
   5.449997      0.5789195       1.700156    
   5.469997      0.5398345       1.661102    
   5.489997      0.4999988       1.621251    
   5.509997      0.4600976       1.581379    
   5.529997      0.4201414       1.541409    
   5.549997      0.3792102       1.500524    
   5.569997      0.3353237       1.456654    
   5.589997      0.2954121       1.416696    
   5.609997      0.2614550       1.382731    
   5.629997      0.2243365       1.345694    
   5.649997      0.1847905       1.306129    
   5.669997      0.1497432       1.271071    
   5.689997      0.1183403       1.239666    
   5.709997      8.7987795E-02   1.209339    
   5.729997      5.8357589E-02   1.179713    
   5.749997      3.1690657E-02   1.153047    
   5.769997      7.7863596E-03   1.129153    
   5.789997     -1.6158987E-02   1.105241    
   5.809997     -3.9945696E-02   1.081464    
   5.829997     -6.0269311E-02   1.061142    
   5.849997     -7.8658395E-02   1.042780    
   5.869997     -9.7238526E-02   1.024224    
   5.889997     -0.1123009       1.009161    
   5.909997     -0.1245011      0.9969898    
   5.929997     -0.1404676      0.9810757    
   5.949997     -0.1542699      0.9672627    
   5.969997     -0.1655342      0.9560423    
   5.989997     -0.1757689      0.9458150    
   6.009997     -0.1853389      0.9362895    
   6.029997     -0.1966820      0.9249670    
   6.049997     -0.2060998      0.9155758    
   6.069997     -0.2123511      0.9093451    
   6.089997     -0.2184362      0.9032984    
   6.109997     -0.2246633      0.8970934    
   6.129997     -0.2295230      0.8922669    
   6.149997     -0.2333766      0.8884397    
   6.169997     -0.2384325      0.8834238    
   6.189997     -0.2438840      0.8779950    
   6.209997     -0.2441908      0.8777188    
   6.229997     -0.2476041      0.8743474    
   6.249997     -0.2527351      0.8692369    
   6.269997     -0.2564917      0.8655169    
   6.289997     -0.2595869      0.8624477    
   6.309997     -0.2621600      0.8599097    
   6.329997     -0.2672641      0.8548371    
   6.349997     -0.2698921      0.8522366    
   6.369997     -0.2696057      0.8525543    
   6.389997     -0.2720078      0.8501876    
   6.409997     -0.2746116      0.8476104    
   6.429996     -0.2763318      0.8459231    
   6.449996     -0.2781126      0.8441710    
   6.469996     -0.2781549      0.8441592    
   6.489996     -0.2816398      0.8407112    
   6.509996     -0.2855913      0.8367833    
   6.529996     -0.2874620      0.8349432    
   6.549996     -0.2882989      0.8341351    
   6.569996     -0.2878853      0.8345780    
   6.589996     -0.2881191      0.8343734    
   6.609996     -0.2884998      0.8340214    
   6.629996     -0.2893584      0.8331917    
   6.649996     -0.2890474      0.8335311    
   6.669996     -0.2908724      0.8317382    
